customer_id,firstname,lastname,brand,first_order_date,last_order_date,days_since_last,lifespan_days,lifespan_years,total_orders,avg_order_value,total_spent,frequency_per_year,clv,clv_tier,is_dormant,order_year_month
112,Ali,Chen,CASIO,2024-06-20,2024-10-27,499,628,1.72,16,83.99,1343.84,9.3,1343.84,MID,1,2024-10
113,Sara,Costa,KANMO,2023-06-23,2024-10-25,501,991,2.72,15,220.91,3313.65,5.52,3313.65,HIGH,1,2024-10
114,Sofia,Smith,KANMO,2025-06-20,2025-07-23,230,263,0.72,13,307.75,4000.75,18.04,4000.75,HIGH,1,2025-07
115,Nina,Hassan,ALDO,2025-04-09,2026-01-22,47,335,0.92,10,73.98,739.8,10.9,739.8,LOW,0,2026-01
116,Nina,Sharma,CASIO,2023-10-10,2025-06-21,262,882,2.42,20,479.68,9593.6,8.28,9593.6,HIGH,1,2025-06
117,Sofia,Martin,KANMO,2023-08-01,2026-02-16,22,952,2.61,15,195.98,2939.7,5.75,2939.7,HIGH,0,2026-02
118,Tom,Patel,KANMO,2025-10-08,2025-11-02,128,153,0.42,7,384.67,2692.69,16.7,2692.69,HIGH,1,2025-11
119,Ali,Martin,ALDO,2024-10-05,2025-03-31,344,521,1.43,18,68.16,1226.88,12.61,1226.88,MID,1,2025-03
120,Hana,Ali,KANMO,2023-06-22,2024-04-15,694,992,2.72,2,158.1,316.2,0.74,316.2,LOW,1,2024-04
121,Sofia,Brown,ALDO,2024-10-18,2026-02-03,35,508,1.39,9,478.0,4302.0,6.47,4302.0,HIGH,0,2026-02
122,Omar,Patel,KANMO,2025-06-18,2025-10-11,150,265,0.73,5,547.34,2736.7,6.89,2736.7,HIGH,1,2025-10
123,Sofia,Yilmaz,ALDO,2025-03-06,2025-08-10,212,369,1.01,20,455.65,9113.0,19.78,9113.0,HIGH,1,2025-08
124,Tom,Sharma,KANMO,2025-05-30,2026-01-24,45,284,0.78,10,427.35,4273.5,12.85,4273.5,HIGH,0,2026-01
125,David,Ahmed,CASIO,2023-05-04,2025-10-16,145,1041,2.85,3,368.87,1106.61,1.05,1106.61,MID,1,2025-10
126,Sofia,Chen,CASIO,2024-09-14,2024-10-10,516,542,1.48,3,156.63,469.89,2.02,469.89,LOW,1,2024-10
127,Fatima,Costa,ALDO,2024-08-06,2024-09-16,540,581,1.59,6,295.54,1773.24,3.77,1773.24,MID,1,2024-09
128,James,Wilson,ALDO,2023-08-31,2025-06-11,272,922,2.53,16,582.21,9315.36,6.33,9315.36,HIGH,1,2025-06
129,Zara,Martin,KANMO,2024-03-28,2025-02-19,384,712,1.95,4,518.2,2072.8,2.05,2072.8,HIGH,1,2025-02
130,Lucas,Smith,CASIO,2023-05-01,2024-12-11,454,1044,2.86,13,492.8,6406.4,4.55,6406.4,HIGH,1,2024-12
131,Aisha,Sharma,KANMO,2025-08-12,2025-10-31,130,210,0.58,9,210.88,1897.92,15.64,1897.92,MID,1,2025-10
132,Mike,Nair,ALDO,2023-07-08,2024-09-03,553,976,2.67,2,132.86,265.72,0.75,265.72,LOW,1,2024-09
133,Lucas,Lee,KANMO,2023-08-18,2025-10-04,157,935,2.56,2,142.05,284.1,0.78,284.1,LOW,1,2025-10
134,Arjun,Singh,KANMO,2023-08-26,2026-02-12,26,927,2.54,16,94.82,1517.12,6.3,1517.12,MID,0,2026-02
135,David,Patel,CASIO,2025-03-21,2025-08-27,195,354,0.97,18,32.86,591.48,18.56,591.48,LOW,1,2025-08
136,Omar,Johnson,ALDO,2025-06-21,2026-02-12,26,262,0.72,4,397.43,1589.72,5.57,1589.72,MID,0,2026-02
137,James,Johnson,CASIO,2024-06-21,2025-11-24,106,627,1.72,9,263.91,2375.19,5.24,2375.19,HIGH,1,2025-11
138,Arjun,Sharma,ALDO,2023-07-19,2025-02-02,401,965,2.64,5,245.56,1227.8,1.89,1227.8,MID,1,2025-02
139,David,Ahmed,CASIO,2025-05-05,2025-06-09,274,309,0.85,9,469.29,4223.61,10.63,4223.61,HIGH,1,2025-06
140,Sofia,Chen,CASIO,2024-08-10,2024-08-12,575,577,1.58,10,442.48,4424.8,6.33,4424.8,HIGH,1,2024-08
141,Mike,Ahmed,CASIO,2023-05-13,2024-03-12,728,1032,2.83,15,334.68,5020.2,5.31,5020.2,HIGH,1,2024-03
142,Nina,Chen,CASIO,2023-12-29,2025-04-08,336,802,2.2,11,525.02,5775.22,5.01,5775.22,HIGH,1,2025-04
143,James,Kumar,KANMO,2024-10-18,2025-12-30,70,508,1.39,14,50.1,701.4,10.06,701.4,LOW,0,2025-12
144,Sofia,Ahmed,KANMO,2025-04-03,2025-12-12,88,341,0.93,2,97.59,195.18,2.14,195.18,LOW,0,2025-12
145,Ali,Lee,ALDO,2023-08-22,2023-12-02,829,931,2.55,17,548.5,9324.5,6.66,9324.5,HIGH,1,2023-12
146,Tom,Ahmed,KANMO,2025-03-29,2025-05-06,308,346,0.95,16,474.38,7590.08,16.88,7590.08,HIGH,1,2025-05
147,Lucas,Kumar,CASIO,2023-11-17,2025-09-12,179,844,2.31,3,514.77,1544.31,1.3,1544.31,MID,1,2025-09
148,Hana,Singh,KANMO,2023-05-16,2023-07-28,956,1029,2.82,20,64.34,1286.8,7.09,1286.8,MID,1,2023-07
149,Priya,Ali,CASIO,2025-08-07,2025-11-26,104,215,0.59,4,462.21,1848.84,6.79,1848.84,MID,1,2025-11
150,Sara,Yilmaz,ALDO,2024-06-05,2024-07-04,614,643,1.76,2,211.52,423.04,1.14,423.04,LOW,1,2024-07
151,David,Chen,KANMO,2024-01-03,2025-03-19,356,797,2.18,5,165.41,827.05,2.29,827.05,MID,1,2025-03
152,Aisha,Nair,CASIO,2025-02-05,2025-05-03,311,398,1.09,6,70.41,422.46,5.5,422.46,LOW,1,2025-05
153,Fatima,Costa,CASIO,2024-10-03,2026-02-24,14,523,1.43,19,107.29,2038.51,13.26,2038.51,HIGH,0,2026-02
154,Lucas,Gomez,KANMO,2024-09-04,2024-09-13,543,552,1.51,15,543.2,8148.0,9.92,8148.0,HIGH,1,2024-09
155,David,Costa,ALDO,2023-08-19,2024-08-06,581,934,2.56,19,197.01,3743.19,7.43,3743.19,HIGH,1,2024-08
156,Priya,Singh,KANMO,2024-05-31,2024-12-20,445,648,1.78,13,515.67,6703.71,7.32,6703.71,HIGH,1,2024-12
157,Hana,Khan,KANMO,2024-02-04,2025-09-14,177,765,2.1,10,595.8,5958.0,4.77,5958.0,HIGH,1,2025-09
158,Sara,Nair,CASIO,2023-11-21,2024-08-28,559,840,2.3,1,350.41,350.41,0.43,350.41,LOW,1,2024-08
159,Mike,Singh,CASIO,2023-04-28,2024-12-04,461,1047,2.87,8,374.06,2992.48,2.79,2992.48,HIGH,1,2024-12
160,Omar,Hassan,CASIO,2025-01-15,2025-11-28,102,419,1.15,9,414.71,3732.39,7.84,3732.39,HIGH,1,2025-11
161,Mike,Lee,CASIO,2025-11-20,2025-12-29,71,110,0.3,15,44.18,662.7,49.77,662.7,LOW,0,2025-12
162,Omar,Garcia,ALDO,2024-06-14,2025-05-14,300,634,1.74,14,125.99,1763.86,8.06,1763.86,MID,1,2025-05
163,James,Yilmaz,KANMO,2023-04-18,2024-10-27,499,1057,2.9,6,172.76,1036.56,2.07,1036.56,MID,1,2024-10
164,Omar,Singh,CASIO,2024-03-17,2024-07-12,606,723,1.98,15,578.66,8679.9,7.57,8679.9,HIGH,1,2024-07
165,Aisha,Khan,CASIO,2023-11-18,2026-02-18,20,843,2.31,18,235.32,4235.76,7.79,4235.76,HIGH,0,2026-02
166,Tom,Chen,KANMO,2025-05-31,2026-01-18,51,283,0.78,12,411.88,4942.56,15.48,4942.56,HIGH,0,2026-01
167,Arjun,Garcia,KANMO,2024-01-10,2024-04-29,680,790,2.16,8,296.1,2368.8,3.7,2368.8,HIGH,1,2024-04
168,Fatima,Yilmaz,KANMO,2024-11-12,2025-10-09,152,483,1.32,3,390.36,1171.08,2.27,1171.08,MID,1,2025-10
169,Sara,Yilmaz,CASIO,2023-10-26,2024-02-22,747,866,2.37,5,51.07,255.35,2.11,255.35,LOW,1,2024-02
170,Omar,Kumar,KANMO,2025-06-16,2025-08-04,218,267,0.73,8,535.17,4281.36,10.94,4281.36,HIGH,1,2025-08
171,Omar,Martin,KANMO,2024-01-11,2025-11-27,103,789,2.16,18,266.0,4788.0,8.33,4788.0,HIGH,1,2025-11
172,Tom,Smith,CASIO,2025-07-21,2026-02-19,19,232,0.64,16,379.0,6064.0,25.17,6064.0,HIGH,0,2026-02
173,Nina,Wilson,CASIO,2024-01-12,2024-08-21,566,788,2.16,15,280.7,4210.5,6.95,4210.5,HIGH,1,2024-08
174,Tom,Brown,ALDO,2024-01-18,2025-07-28,225,782,2.14,12,59.82,717.84,5.6,717.84,LOW,1,2025-07
175,Arjun,Khan,ALDO,2023-07-23,2023-10-24,868,961,2.63,7,393.98,2757.86,2.66,2757.86,HIGH,1,2023-10
176,Raj,Patel,ALDO,2024-03-27,2024-12-01,464,713,1.95,5,477.51,2387.55,2.56,2387.55,HIGH,1,2024-12
177,Nina,Ahmed,CASIO,2024-12-11,2025-10-07,154,454,1.24,7,492.51,3447.57,5.63,3447.57,HIGH,1,2025-10
178,Lucas,Costa,ALDO,2026-02-03,2026-02-20,18,35,0.1,5,592.83,2964.15,50.0,2842.34,HIGH,0,2026-02
179,Nina,Chen,ALDO,2025-06-28,2025-07-11,242,255,0.7,5,33.54,167.7,7.16,167.7,LOW,1,2025-07
180,David,Sharma,KANMO,2026-01-07,2026-01-18,51,62,0.17,9,55.13,496.17,52.98,496.17,LOW,0,2026-01
181,Meera,Chen,ALDO,2025-10-01,2026-01-30,39,160,0.44,15,472.36,7085.4,34.22,7085.4,HIGH,0,2026-01
182,Sara,Sharma,ALDO,2023-07-29,2024-12-25,440,955,2.62,8,568.61,4548.88,3.06,4548.88,HIGH,1,2024-12
183,James,Kumar,KANMO,2023-07-16,2025-05-04,310,968,2.65,1,59.97,59.97,0.38,59.97,LOW,1,2025-05
184,John,Ahmed,KANMO,2025-07-02,2025-11-04,126,251,0.69,15,67.26,1008.9,21.81,1008.9,MID,1,2025-11
185,Sofia,Garcia,CASIO,2025-04-11,2025-05-14,300,333,0.91,5,183.13,915.65,5.48,915.65,MID,1,2025-05
186,Fatima,Sharma,CASIO,2024-04-14,2025-05-09,305,695,1.9,20,330.07,6601.4,10.5,6601.4,HIGH,1,2025-05
187,Lucas,Brown,CASIO,2023-09-11,2023-12-21,810,911,2.5,4,515.36,2061.44,1.6,2061.44,HIGH,1,2023-12
188,Fatima,Kumar,KANMO,2023-07-30,2026-01-24,45,954,2.61,8,262.94,2103.52,3.06,2103.52,HIGH,0,2026-01
189,Tom,Wilson,KANMO,2025-07-29,2025-10-17,144,224,0.61,14,204.7,2865.8,22.81,2865.8,HIGH,1,2025-10
190,John,Martin,ALDO,2023-06-13,2023-08-20,933,1001,2.74,3,503.27,1509.81,1.09,1509.81,MID,1,2023-08
191,Lucas,Garcia,ALDO,2024-01-07,2024-05-19,660,793,2.17,18,59.49,1070.82,8.28,1070.82,MID,1,2024-05
192,David,Smith,KANMO,2025-06-03,2025-12-30,70,280,0.77,12,527.32,6327.84,15.64,6327.84,HIGH,0,2025-12
193,Raj,Lee,KANMO,2024-05-10,2025-05-05,309,669,1.83,4,357.3,1429.2,2.18,1429.2,MID,1,2025-05
194,Lucas,Wilson,CASIO,2023-05-28,2024-01-12,788,1017,2.79,4,226.32,905.28,1.44,905.28,MID,1,2024-01
195,Lucas,Nair,ALDO,2024-07-18,2026-02-25,13,600,1.64,8,489.15,3913.2,4.87,3913.2,HIGH,0,2026-02
196,Tom,Yilmaz,CASIO,2025-12-17,2026-03-04,6,83,0.23,9,41.65,374.85,39.58,374.85,LOW,0,2026-03
197,Sofia,Kumar,KANMO,2024-02-21,2024-02-27,742,748,2.05,6,525.17,3151.02,2.93,3151.02,HIGH,1,2024-02
198,Raj,Kumar,ALDO,2025-04-24,2025-05-09,305,320,0.88,3,454.01,1362.03,3.42,1362.03,MID,1,2025-05
199,Zara,Chen,KANMO,2023-07-25,2024-07-08,610,959,2.63,6,237.78,1426.68,2.28,1426.68,MID,1,2024-07
200,Arjun,Smith,CASIO,2025-08-19,2025-09-01,190,203,0.56,5,115.51,577.55,8.99,577.55,LOW,1,2025-09
201,James,Nair,CASIO,2025-08-25,2025-11-02,128,197,0.54,15,405.61,6084.15,27.79,6084.15,HIGH,1,2025-11
